Team1,Team2,Venue_Team1,Venue_Team2,Inning_Team1,Inning_Team2,Winner
Australia,Pakistan,Away,Away,First,Second,Australia
Australia,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,Australia,Away,Away,First,Second,Australia
Australia,Pakistan,Away,Away,First,Second,Australia
Australia,Pakistan,Away,Away,First,Second,Australia
Australia,Sri Lanka,Away,Away,First,Second,Sri Lanka
Australia,Sri Lanka,Away,Away,First,Second,Sri Lanka
Australia,Sri Lanka,Away,Away,First,Second,Australia
Australia,New Zealand,Away,Away,First,Second,Australia
Australia,New Zealand,Away,Away,First,Second,Australia
Australia,New Zealand,Away,Away,First,Second,Australia
Afghanistan,Scotland,Away,Away,First,Second,Afghanistan
Scotland,Hong Kong,Away,Away,First,Second,Scotland
Hong Kong,Ireland,Away,Away,First,Second,Hong Kong
Zimbabwe,India,Away,Away,First,Second,India
Zimbabwe,India,Away,Away,First,Second,India
Zimbabwe,India,Away,Away,First,Second,India
Zimbabwe,India,Away,Away,First,Second,Zimbabwe
Zimbabwe,India,Away,Away,First,Second,India
India,Zimbabwe,Away,Away,First,Second,India
New Zealand,Bangladesh,Away,Away,First,Second,New Zealand
New Zealand,Bangladesh,Away,Away,First,Second,New Zealand
Bangladesh,New Zealand,Away,Away,First,Second,New Zealand
Bangladesh,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,Bangladesh,Away,Away,First,Second,New Zealand
New Zealand,Bangladesh,Away,Away,First,Second,New Zealand
New Zealand,Australia,Away,Away,First,Second,New Zealand
New Zealand,Australia,Away,Away,First,Second,New Zealand
South Africa,New Zealand,Away,Away,First,Second,South Africa
New Zealand,South Africa,Away,Away,First,Second,South Africa
New Zealand,South Africa,Away,Away,First,Second,New Zealand
South Africa,New Zealand,Away,Away,First,Second,South Africa
South Africa,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,South Africa,Away,Away,First,Second,South Africa
Bangladesh,England,Away,Away,First,Second,England
South Africa,Sri Lanka,Away,Away,First,Second,South Africa
India,Pakistan,Away,Away,First,Second,India
England,New Zealand,Away,Away,First,Second,England
South Africa,Pakistan,Away,Away,First,Second,Pakistan
India,Sri Lanka,Away,Away,First,Second,Sri Lanka
New Zealand,Bangladesh,Away,Away,First,Second,Bangladesh
Australia,England,Away,Away,First,Second,England
South Africa,India,Away,Away,First,Second,India
Sri Lanka,Pakistan,Away,Away,First,Second,Pakistan
England,Pakistan,Away,Away,First,Second,Pakistan
Bangladesh,India,Away,Away,First,Second,India
Pakistan,India,Away,Away,First,Second,Pakistan
Hong Kong,Papua New Guinea,Away,Away,First,Second,Hong Kong
Papua New Guinea,Hong Kong,Away,Away,First,Second,Papua New Guinea
Papua New Guinea,Hong Kong,Away,Away,First,Second,Hong Kong
England,West Indies,Away,Home,First,Second,England
West Indies,England,Home,Away,First,Second,England
England,West Indies,Away,Home,First,Second,England
Ireland,England,Away,Away,First,Second,England
England,Ireland,Away,Away,First,Second,England
England,Bangladesh,Away,Away,First,Second,England
Bangladesh,England,Away,Away,First,Second,Bangladesh
Bangladesh,England,Away,Away,First,Second,England
New Zealand,India,Away,Away,First,Second,India
New Zealand,India,Away,Away,First,Second,New Zealand
New Zealand,India,Away,Away,First,Second,India
New Zealand,India,Away,Away,First,Second,New Zealand
India,New Zealand,Away,Away,First,Second,India
England,South Africa,Away,Away,First,Second,England
England,South Africa,Away,Away,First,Second,England
England,South Africa,Away,Away,First,Second,South Africa
South Africa,England,Away,Away,First,Second,England
South Africa,England,Away,Away,First,Second,South Africa
England,South Africa,Away,Away,First,Second,England
West Indies,England,Away,Away,First,Second,West Indies
West Indies,England,Away,Away,First,Second,England
England,West Indies,Away,Away,First,Second,England
West Indies,England,Away,Away,First,Second,England
West Indies,England,Away,Away,First,Second,England
New Zealand,Ireland,Away,Away,First,Second,New Zealand
Bangladesh,New Zealand,Away,Away,First,Second,New Zealand
Ireland,Bangladesh,Away,Away,First,Second,Bangladesh
New Zealand,Ireland,Away,Away,First,Second,New Zealand
New Zealand,Bangladesh,Away,Away,First,Second,Bangladesh
England,India,Away,Away,First,Second,India
India,England,Away,Away,First,Second,India
England,India,Away,Away,First,Second,England
India,England,Away,Away,First,Second,England
India,England,Away,Away,First,Second,India
India,England,Away,Away,First,Second,India
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Afghanistan,Ireland,Away,Away,First,Second,Ireland
Afghanistan,Ireland,Away,Away,First,Second,Ireland
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
West Indies,India,Away,Away,First,Second,West Indies
West Indies,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,West Indies,Away,Away,First,Second,Pakistan
West Indies,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,West Indies,Away,Away,First,Second,Pakistan
Pakistan,West Indies,Away,Away,First,Second,Pakistan
Pakistan,West Indies,Away,Away,First,Second,Pakistan
Bangladesh,Afghanistan,Away,Away,First,Second,Bangladesh
Bangladesh,Afghanistan,Away,Away,First,Second,Afghanistan
Bangladesh,Afghanistan,Away,Away,First,Second,Bangladesh
Zimbabwe,Sri Lanka,Away,Away,First,Second,Sri Lanka
West Indies,Sri Lanka,Away,Away,First,Second,West Indies
Sri Lanka,West Indies,Away,Away,First,Second,Sri Lanka
Zimbabwe,West Indies,Away,Away,First,Second,Zimbabwe
Zimbabwe,Sri Lanka,Away,Away,First,Second,Sri Lanka
Papua New Guinea,United Arab Emirates,Away,Away,First,Second,Papua New Guinea
Afghanistan,United Arab Emirates,Away,Away,First,Second,Afghanistan
United Arab Emirates,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,United Arab Emirates,Away,Away,First,Second,Afghanistan
Australia,England,Away,Away,First,Second,England
Australia,England,Away,Away,First,Second,England
England,Australia,Away,Away,First,Second,England
England,Australia,Away,Away,First,Second,Australia
England,Australia,Away,Away,First,Second,England
New Zealand,Australia,Away,Away,First,Second,Australia
England,Australia,Away,Away,First,Second,Australia
England,Australia,Away,Away,First,Second,Australia
New Zealand,England,Away,Away,First,Second,New Zealand
New Zealand,Australia,Away,Away,First,Second,Australia
England,New Zealand,Away,Away,First,Second,England
